title,text,rating
Defective,"We must have gotten a defective lot, because these have caused every fire alarm in the house to sound within days of installing these batteries. Too late to return. So much for 10 year shelf life.",1
Don't depend on these.,I put two of these in my small flashlight and they only lasted about 15 minutes. Waste of money.,1
Five Stars,as advertised,5
They don't last,"They don't last. USed in electronics (like computer mice, computer keyboards) Energizer or Duracell last easily 3x longer. Not worth the savings. If its going in some kids game or infrequent use (where the battery would be dead later anyways) ok.",1
No impressed.,Batteries seem to work in some flashlights and not others. They are just okay. Other batteries that we have will work on all. Not impressed.,3
First one out of the box I placed in a ...,"First one out of the box I placed in a Swissphone Fire department pager. Battery indicator had 3 levels, and a new battery only shows 2 bars. That's rather disappointing, I should have stuck with Duracell, they show full charge.",3
"Leaky, short life batteries.","These batteries are the worst of any I've ever bought. They have corroded inside of toys, remotes, noise cancelling range headphones and an expensive gun scope that I own. I've tried AA and AAA, and even gave them multiple chances. The batteries in some electronic devices die within 24hrs. So needless to say, I have switched back to standard Duracell batteries. If you care about life and not having to mess with corrosion, do not buy these batteries!!!",1
Right size and weight,Love it and would recommend it for the young as the old,5
Tablet not for kids,Great case ok tablet no Android play store. Weak micro usb port. It's isn't an straight out the box tablet. Had to install Android play store on it. And as far as the charging port goes I'm on my 3rd one but best buy are the best with their return policy...,3
Short life,They really don't last very long,3
17 less battery life than Duracell,"I put these batteries in 10 of the 12 window candles that I bought - I put my last 2 Duracell in the other 2. The Amazon Batteries lasted for about 10 days and the Duracell lasted for 12. Since then I've experimented to see if this is consistent . It is, the Duracell last an average of 17 longer.",3
Very poor performance. Would not recommend.,"These batteries lasted barely 2 weeks in a low drain device. They actually performed worse than dollar store batteries! I can't believe there are so many positive reviews... maybe I got a bad batch. Luckily Amazon is really good about giving refunds, so this is more a warning about not wasting your time on these.",1
Five Stars,Great value and they work as good as any other brand!,5
One Star,"bad product, not working in the remote car where it required 3 AA batteries.",1
Don't waste your money on these,"These batteries are supposed to be 1.5 volts. But I opened and tried to use them as soon as I got them and had problems.I checked the batteries and they only had 1.25 volts upon delivery and of course they are non returnable.Don't waste your money on these, go ahead and pay a little more and get the popular name brands.",1
"Tablet worked as it should, but...","I was not a fan of the Amazon type operating system that is on the tablet. Ended up taking it back because it was not what I wanted, not as easy and supportive of games and apps as an Android tablet.",3
Nice gadget,My son is 6 and loves it. It's very easy to use...,5
Poor Quality - Barely Holds a Charge,Horrible quality. These last 4 to 6 days in an Xbox controller and maybe 10 days in a remote. Horrible quality.,1
One Star,don't last long. Replace batteries in my clock almost every 2 months.,1
Great,"Overall I was a little skeptical because this wasn't the product I wanted. Turns out, it's amazing!",5
These batteries have a short life compared to other alkaline ...,These batteries have a short life compared to other alkaline batteries that we use. They are definitely basic batteries. I will not order these again.,3
Three Stars,Can not tell the difference between these batteries and the name brands,3
Batteries for days,Same price to buy all these as it is to buy an 8pack at the store. Why pay more They same to have a similar lifespan. I haven't noticed any difference.When I retire in 30 years I'll probably buy an other case to get me through my last years. But these should last until then.,5
I have had these only for a week I cannot ...,I have had these only for a week I cannot tell you anymore,5
You get what you pay for.,"You can't beat the price, but I've had some of these batteries just die on me after less than a month of use.",3
It was very easy to use,My grandson loved this product.it was very easy to use.,5
For some reason none of these batteries worked. Not ...,For some reason none of these batteries worked. Not sure what was wrong this time. I've bought them before and had no problems. Luckily amazon took it back without a problem,3
Best Kindle yet,"I just upgraded from a Touch to a Voyage and could not be happier. In my opinion this is by far the best Kindle yet. Its operation and features are similar to the Touch and Paperwhite but it is lighter and faster and very comfortable in the hand. Like other e-ink devices (unlike Fire) the screen has a matte finish which is really superb for reading. Some early reviews I've read complained about part of the screen having a yellowish hue. I have not seen any sign of this so that may have been an early manufacturing issue that hopefully has been corrected. The built-in screen light is amazing.Like other e-ink devices the Voyage allows better control and integration of dictionaries, which is really important for specialized reading or reading in a foreign language where one may want to consult several dictionaries in-situ to fully understand a word or phrase.There is very little not to like about the Voyage. I can only think of two issues to consider:1. Price - no doubt about it, Voyage is expensive, but in my opinion it is worth it. When trading off price and performance, I urge you to go into your nearest Best Buy for a hands-on look at the various Kindles, particularly the Paperwhite and Voyage to see what you really need/want or can live with.2. A minor point for the evolution of e-ink readers: it would be nice if there was some control of the screen background color or at least an implementation of a warmer background. Recent studies suggest adverse effects, particularly regarding getting good sleep, from using electronic devices with bright-white or bluish screens (disrupts melatonin production in the body). This is one (of the few in my opinion) advantages of Kindle Fire and Kindle for Android, where several text background colors are available).I highly recommend Voyage - the new king of e-readers.",5
HD fire 8,Love the beautiful color of this tablet. Features are also great for a tablet like this.,5
These work great and last long!,These batteries are exactly what you would expect. I have not had any issues with them not lasting long. I would recommend these to anyone looking to purchase batteries.,5
Cheap batteries that are cheaply made,"These batteries did not do the job for us. They were low powered and did not last as long as their competition.I thought all AA batteries were the same but after our experience with these I have to say that you get what you pay for.I am not sure how or why they are different than other batteries, lower voltage less capacitanceThey are cheap - do not buy them.",1
Just doesn't last as long as other brands,"I haven't done any scientific research on how long these last compared to other batteries, I can only give you my layman's experience. I use the exact same amount of battery usage every day and have tried pretty much every brand of battery (I don't hear that well so I wear headphones for my television and I wear them the same number of hours per day).The AmazonBasics batteries don't last nearly as long as any other battery. My headphones start getting fuzzy about twelve hours earlier than they normally would with any other the batteries I've ever used. I went through this package a week earlier than I would a 24-pack of either Duracell or Energizer. In some usages this might not matter but for me, it just wasn't worth it to buy these.",3
It is a Christmas gift,This is going to be a Christmas gift for my granddaughter so we don't know how good it is yet but we where going to put so games on it so it is ready to go and we couldn't because you have to have a amazon account to do anything with it.,3
One Star,Junk wont charge,1
Good for nights out,Good tablet to take for my child to play on when out to dinner. Keeps him busy.,3
Three Stars,A lot of batteries for the good price. But they don't last too long.,3
Five Stars,great value for this amount of batteries that work just like the big brands!,5
probably not as good as some name brands but good enough for my ...,"These batteries are nothing special. They do the job, probably not as good as some name brands but good enough for my wireless trackball.",3
will be buying again,Great price for alot of batteries,5
Child friendly!,"Great gift, for my kid's second birthday! This product is very child friendly and easy to use! I recommend this product for families!",5
Performs as well as the brand names,Great batteries at a great pricr,5
Worst product. Have to trash it out,"Worst product. Have to trash it out, because I was so upset. Did not serve the propose I bought it for.",1
Works,Speakers stuck on this thing . I bought it to give to my grandma but she found it too difficult.,3
Worst batteries I've ever purchased!,These batteries are the worst batteries I've ever purchased. I am in disbelief how quickly they died! I put them in 2 very small 4 tall portable night lights for my kids and both night lights became very dim overnight. The batteries had to be replaced after 2 nights for the night lights to even serve the purpose. I've since put these batteries in other things around the house and I am not impressed at all. I'll stick to buying batteries at Costco in the future.,1
Excellent Tablet for the money,"Could not have asked for a better tablet for the money. I wasn't looking for anything extreme. Just wanted it to look nice and do it's job for games and browsing. Well it does that and more. Gave it to our son for Christmas and now I want one myself. We are going to buy another for my mother in law. Lightweight, simple layout. Snappy. Can't go wrong.",5
TERRIBLE DONT BUY,"i Bought this around black friday for $60 hoping it would be awesome... it failed so hard i tried multiple different micro SD cards none of which were recognized and YES i formated them with every format i could think of ... Fat32, NTFS, Fat, Xfat... i even tried to have the tablet do it... didnt work... to make matters worse half the apps i wanted to use werent in the app store and i came to find out that it isnt linked to the normal google play store this tablet has its own app store which is missing many common apps... the main reason i bought this was to play clash of clans and i cant because it wasnt on the app store... i tried to also use aftermarket play stores to play COC but it didnt work... launched and played 1 time but didnt work or update after that... needless to say i returned it and bought a $250 samsung galaxy tab A 10.1 (2016 version) with S-pen and its WAYYYYY better... bottom line you get what you pay for... also hint the s-pen version has an extra 1 GB of ram over the non pen version... so you should get that if you can afford the extra $50...",1
Three Stars,"these are not comparable to Duracell, but it's cheap",3
Good Product,My daughter loves the device. Only had it a few days,5
Five Stars,Great price.,5
Great item,Great item! Would definitely recommend this item -- am still learning all the things about it.,5
One Star,theses batteries don't last very long not worth the money,1
Three Stars,they ARE BATTERIES get real,3
Came defective,"bought a few kindles in the past but this time one of it came defective. the port was bent and it was hard to charge but still possible. comes in 4 different color. was 16gb enough space for kids, has camera, ok quality not the best but ok for pics taken by kids",3
"May have been a fluke, but these lasted not ...","May have been a fluke, but these lasted not even 10 minutes in two very different devices - a kid's toy and wireless mouse. Will just pay extra next time for brand name batteries.",1
One Star,The products that it was delivered but I could not find it anywhere,1
Good for entry level reader,This device is good for entry level reader only in daylight.Its doesnot support reading in dark. To read in dark you will have to purchase a light or cover case with light attached. I either case it will put a lot of strain in your eyes.,3
This is a basic tablet for someone that doesn't re,I got this for my boyfriend for a Christmas gift. He liked it but doesn't use the internet much & has a smart phone so I returned. It's good for someone looking for something basic,3
Does not last too long,They are ok batteries. I use them on my remotes and have to switch out frequently.,3
"Had one already, like it.","Gave to my Grandchildren for Christmas, would like to get another for the same price for another Grandchild.",5
Reading again,Ergonomic and easy to get new books. My house is full of books and I need to quit stockpiling them. And I can't remember what I read years ago. This device helps.,5
didn't work,This review can not be valid due to the device did not work for me. I would put it down. Just upgraded to the ECHO instead of the tap.,1
nice,good batteries,5
Five Stars,"Great price, lets see long they hold a charge.",5
Not user Friendly,"Purchased for my Father In Law - this was the most frustrating experience. Not user friendly - not friendly at all. Stick with a name brand tablet - Apple, Samsung, etc.. Avoid this device at all costs.",1
Chronic issue with charging port,"The reviews on this on Amazon seemed awesome. Little did I know that there is a chronic problem with the port on these tablets. We just bought this for Christmas and went to charge it for the first time. Nothing. We already loaded (and paid for) several apps, and now we're out that money. Also the charging cord that came with it appears it has been used before - there's some wear at the edge of it. So I went online to see if I could find this issue and there it is - everywhere. This is a problem that has been around for years, but Android - who is the ultimate culprit, has failed to fix it at the source. When you plug in the charger, there's no 'click' so you know it's in place. It just slides in and out. We've had Apple products for several years and never had an issue, then the first Droid product we purchase can't even be charged from the beginning. This will be going back to BestBuy - and will buy another iPad Mini - costs more, but is much much more reliable.",1
Five Stars,Good value.,5
awesome,asesome!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5
Three Stars,love it,3
Love kindle,Enjoy having a device that I did not have to pay for through the nose. Enjoy having a device that makes it easier to read on the go.,5
Perfect tablet for kids,"The price for this tablet is not the only great selling point. The free year of amazon free time is perfect for my son. There are tons of games, books, and videos in this service. My favorite feature is how we can set time limits on screen time. We can even set it to require an amount of learning app or book time per day before access to games is allowed. Great choice for kids.",5
Fun for beginner,Its very cool great picture good sound. Was kind of disappointed that i couldnt make calls but overall great piece of hardwark,1
Five Stars,best battery value I have found.,5
Not kid friendly,"Cumbersome, complicated and not kid friendly..... went with Apple, suggesting you do too.",1
Low Quality Batteries. See Pics. You have been warned.,Picture for proof. I had these in an Amazon basics wireless mouse and one of them exploded. It was only in there about 3 months before I noticed the batteries were dead. Upon inspection it was clear one of the batteries had a structural failure and exploded the end apart leaking fluid inside mouse.This mouse has NEVER been out of my air conditioned office.I have never had a battery explode inside a mouse before. These are obviously low quality. Do not put them into anything you'd be upset to ruin with leaky battery fluid.,1
Five Stars,Order these all the time Good Price,5
Three Stars,They ran out of energy very quick but it's a deal,3
Wonderful BC starter tablet,I love this tablet.I bought it for my 5year old grandson and he lives it. The parental controls are outstanding,5
Battery Leaks,Leaked all over our lantern battery case. I purchased these batteries for an emergency since they had a long shelf life. I put 4 batteries into each of my lanterns and 2 each into my flashlights. I have multiple battery leaks between the lanterns and flashlights. I ended up spending over an hour cleaning up the battery cases and flashlights. I've purchased the AAA pack as well and don't seem to have the same problem.,1
Total waste of money,Hardly last as long as a stick match. Total waste of money.,1
Amazon is amazing,"For the price it can't be beat. That being said I had to return mine after a week. I just couldn't get over the low resolution screen. It works well for movies and the Web, but I needed it to also show off my photos to others.",3
My 18 month old loves this!,"My son loves this tablet, he will not put it down!",5
Not impressed,Hard to connect to the internet. Extremely slow to load apps. Not many free apps like apple. The only thing I really like is the protection it offers.,1
Ok but not fantastic.,Pretty good but the batteries do get used up fairly quickly. I use them for wireless mics and they last for maybe 5 or 6 hours TOPS. I need to compare them with Duracell to really get an idea of their quality.,3
great battery,Good battery. Lasts just as long as more expensive brands.,5
Okay,"Great for first time tablet, but more advanced options available",3
"Not bad, just not my flavor of android.",This is an older tablet. I probobly expected too much. If I'm going to deal with lagginess I prefer my ipad2.,3
Barely a day before I changed them out.,It states that the batteries last a while. But I use them for my TV remotes. And I ended up buying Energizer a few days later. They do not last. I changed batteries twice the day I got them in mail.The triple A were no better.,1
More ideal for a child or teen.,This is not a bad product. Amazon offers greats products but this tablet was missing features even for a basic tablet. The lack of google chrome compatibility made this tablet not right for me.,1
Good tablet for what it's designed to do,Good tablet but not as smooth as high end tablets. It's limited to Amazon so don't expect to do as much as an Android or iPad. I like mine and will continue to use it. I recommend using one if you can before buying.,3
Excellent upgrade- super graphics,Upgraded after older version slowed. Excellent graphics and speed. Look forward to learning more about newer features.,5
They work fine so far.,No more going to the store for batteries for me. So far they have been working fine.,5
Great AAA batteries at a competitive price,Good quality. Great price! Will buy again.,5
Doesn't stay on,I bought this on line as a gift. The unit does not stay on and I cannot get in touch with anyone to get the unit repaired,1
Just ok for the price,"This Kindle was purchased on the black friday sale. At the time I felt it was a steal at that price. The first tablet I purchased a few years ago was the original Kindle Fire, the following year I purchased an iPad mini and now have the iPad mini 4. As you may already know, the iPad does not have explandable memory. This Kindle can have expanded memory to 200GB so that was a good selling point for me. After setting this new Kindle Fire up, I noticed that viewing photos were not as clear as the original iPad mini even without retina display, and the color had a greenish-yellowish tint to it. Some may not notice this if they do not have something else to compare it to. I'm a pro photographer so this was quite unaceptable to me. I was not expecting perfection with the colors but people's skin tones appeared greenish as if they were Vulcans. I also like to read tech manuals and magazines of which many are in PDF format. The Kindle will read this format but the Kindle Fire after all these years still cannot display the cover art from pdf books, etc.; it displays an acrobat pdf document logo instead. If you have a large library of pdfs you have to read through the document titles instead of being able to select by seeing the cover of the book. That was enough for me, I've been spoiled by the ease of use of the iPad and the display with accurate colors. Back to the store for a prompt refund it went. Overall..still a good deal but if you are used to an iPad for the reasons I am..you may be disappointed.",3
Great tablet,I love the tablet....I just can't do without the tabelt,5
I love my Kindle,I love my Kindle. It's light and I haven't experienced nnby problems with it thus far. I just wish I could upload my music from Google Play on here,5
did not hold charge,"These batteries wore out much too quickly. I almost replaced the weather station after it went through 2 sets of batteries in about 1 month. Luckily, something else with the same kind of batteries burned out the same day and I realized that the batteries were bad, not the electronics. .",1
Disappointed,Cheap price but they sure don't last very long. I won't buy the Amazn brand again.,1
One Star,"These batteries suck!!!!!!Stay away from them! Read bad reviews, they last only weeks.",1
Three Stars,okay,3
Didn't work,Since I purchased returned couple of times now is dead I have to return it again. My first problem didn't paired.,1
Very short charge life. Dead in no time.,"Lot's of claims in the description and lots of good reviews here, so I don't know what went wrong, but it appears these batteries really stink.In a TV remote, a pair of these batteries lasted 2 weeks. The name-brand batteries they replaced had lasted several months.In an LED flashlight, a pair of these batteries lasted exactly 2 uses before the light got dim and 3 uses before the batteries were totally dead. I'm talking about, like, less than 10 minutes of cumulative use. The previous batteries had lasted dozens of uses probably at least 3 hours of on-time.I don't know if I got a bad batch (a BIG bad batch of 48), or if I was just tricked into having the wrong expectations. Either way, back to name-brand batteries for me.",1
Great price,Excellent price,5
They don't seem to work except in very low energy ...,"They don't seem to work except in very low energy items. Can't get them to work in my remotes or in a motion sensor light, but it works on a smaller switch activated night light. :-( oh well",1
Great product,"This is the second time I am buying these batteries (for my noise cancellation headphones). No complaints on the product and the packaging is excellent - frustration free, as described.",5
Poor quality,These batteries are very poor quality and do not last even half the time of standard Energizer or Duracell batteries,1
and are working just like any other,"Batteries packaged well, and are working just like any other battery",5
Three Stars,They seem to die faster than most batteries.,3
Great for my dad,Bought this for my dad food Christmas and he loves it.,5
Weak.,They're not strong enough to power my kids' toys... so far they only work with tv remotes. :(,1
Value,Never run out of batteries with this,5
Saved Me From Bear Attack,"So... One day I was camping in the Wild West on the Rocky Mountains in Colorado... I was carrying my trusty Power Rangers limited edition collectors sword. Out of nowhere... A bear attacked me. I grabbed my trusty sword, but it was out of batteries so it did not make the swoosh sounds that adds to the effect of my swing. So I hurriedly went to my trusty AmazonBasics AA batteries, and switched out the ones in my Power Rangers sword. My swooshing sounds were amazing, and I escaped with my life (not my leg but that's okay). Thank you AmazonBasics AA Batteries for saving a life.",5
Great bumper,The tablet is for my son who is 2. That being said I noticed blotches on the screen. Never returned it due to it not making a difference to my son. I will have to upgrade him in question few years anyway. The bumper is amazing.,3
I need to cancel this auto shipment,I need to cancel this auto shipment,1
Excellent value,"Met and exceeded all expectations! Easy to use, perfect size, arrived when expected and an excellent value.",5
Perfect for my 3 year old,My son loves his tablet! It's easy for him to use and he enjoys all the games that come with it. No problem with the storage or speed of apps. I previously bought him the Samsung tablet and when that broke it was difficult to get it fixed. I like that Amazon gives you a two year warranty.,5
A great starter tablet for a youngster,Santa dropped this off for our 4th grader along with expanded memory. he uses it for Netflix and Youtube as well as Minecraft and other Apps. Why spend hundreds on something for basic kids needs? I'm sure this will last him a few years and is well worth the price.,5
Horrible Battery Life,This is not an upgrade by any means! My three year old kindle outperformed Oasis.Battery life better than a week with the lights on lowest setting Magnetic connector is poorly designed and grows weak Two pieces to keep up with; unsnaps constantly Amazon Customer Services promises it will resolved in an update,1
Great deal on Batteries,Great deal for a parent of 2 girls that have toys that all seem to require AA or AAA cells.,5
Three Stars,"Okay, but do not last long.",3
It's an ok tablet for the price.,"In my opinion it's very slow for internet use. Good for our 5 yr old to use but we purchased this for her to do online curriculums, which is almost impossible to do with this tablet because of the speed. Our internet connection is great with every other laptop and computer in the house.",3
I bought AA batteries in the same order and they work fine.,Not a long life at all. I bought AA batteries in the same order and they work fine.,1
"less than 120 days, about 100 use. It is toast!","Bought this mostly as a backup.and to read a few books, since I have a larger cell phone and a back up. Used it occasionally may 40 or 50 hours of use till this week when I sent my laptop in for repairs. so I probably used it a tot this week. I was watching my 3rd Primetime video this week and it simply turned off. It will not turn on using any power trick such as safe mode. It is gone, It is toast. Bought it October 11, 2016 , It quit on February 9, 2015. My old Fire lasted 4 or 5 years with more use. it had stereo speakers, lasted a week on a charge not 2 or 3 days.Sturdier built. This is full of junk, I am not just offered more apps, it is constantly trying to add them. JUNK JUNK JUNK",1
Poor performance,Batteries seem to have very short life.........,1
Unused batteries dead after four months ... complete waste of money,"Do NOT waste your money on these. I bought a box of 48 in November of 2015. It is now March of 2016, and we've used about a third of them. The rest are all dead already. 10-year shelf life!!! ... nowhere close.",1
Good,good product but very hard to customize like real androids. Can not install firefox or other SW that Amazon deems a competition...too bad,3
Worst batteries I ever bought,"Worst batteries I ever bought. Less than one hour after installing in remote, popup on tv said remote battery low. Left them in and got about four hours more use before it wouldn't turn on the receiver. The AA's I bought seem to be fine. Not sure why the AAA's didn't last. Put 4 new ones in the remote ... we'll see how these do. The second set of four were no better than the first. Low battery warning after a few hours use (surfing dish tv program guide). All showed just over 1.5 volts before installation. Checked again when first low battery warning came up. Down to .8 volts. Guess I got an old, bad batch. Nothing but Duracell from here on out. Would not recommend these batteries !",1
iT'S A BATTERY,IT'S A BATTERY,3
Good deal,Work great in my children's video game controllers last just as well as the name brand batteries,5
Unable to use it,I bought the kindle fire 8 for my husband and I to use. Neither one of us have been able to figure out how to use it. Every time we open it advertisements pop up. And we just try buttons to remove it. We cannot get it to rotate for our puzzles. Just too complicated to use and to navigate around. I will be returning it. We have an iPad and it's much easier.,1
Get shorty,They are bad batteries. Not long lasting at all,1
Need guide/instructions,"When my husband and I bought our Kindle Fire 8, we went to Best Buy and asked questions as best we could. There are programs we apparently need to put create and edit documents and spreadsheets!! We did ask if it had those features and was told yes but I think we need to have a special app. Why isn't there a manual or step by step guide on getting the most use out of Kindle Fire 8. Can I get it online? Kindle Fire 8 fun to use but needs more info for customers. Can we go to a class at Best Buy? Thanks for any help.",3
Five Stars,Amazon has the best deals on batteries and they work!!!,5
Five Stars,Thanks for the batteries Amazon! Now my battery operated lights and fans will work when I loose power!,5
Great Batteries,Amazon batteries run longer and cost less. I buy all my batteries from Amazon now!,5
Not so good!,I had to return this product as it was not compatible with things such as Facebook and Itunes... which is what I needed it for. Great if you are into books and streaming movies!,1
Five Stars,Best batery,5
Three Stars,The battery life was not as long as Duracell and energizer.,3
Its OK. Not much life in the batteries.,Its OK. Not much life in the batteries.,3
Bad quality,Many of the batteries are no good.,1
Great for kids!!,"lots of games, love that it has the option to use as a regular tablet, and my kids love the case because it makes it easier to hold and to prop it up when they are listening to books and such! Has parental controls and is all around awesome for kids!!!!",5
Five Stars,good price seem to work fine,5
Great for kids,Both my 2 &7 year old play with them in the car. Watching movies or playing games.,5
Battery comparison,Batteries did not last anywhere near the length of the Duracell that we purchased. Did a side by side test and the Amazon batteries were down to 50 to where the Duracell batteries were still at 99. Will do some more testing to make sure the test were equal. We bought two new trail cameras and we put one set of Amazon's batteries in one camera and one set of the duracell batteries in the other. We will now switch the batteries in the cameras for the same time frame and see what the end result is.,3
Five Stars,good batteries,5
Don't Last Long,"This is my 2nd time ordering them and even though they arrive very fast and nicely packaged, these batteries only last about an hour and a half on my son's toy train.",1
Dead on arrival,Two of the batteries were already dead. The rest work fine.,3
Just meh,Great for small gadgets and remotes. Don't expect to run anythinh more. Could handle a set of battery power hair clippers.,3
Easy to use,Worth the price. Added this to my collection mainly for audible books. Don’t like the OS much.,3
GOOD DECISION!,"I love to read books....paper and electronic (via my iPad), but had never owned a Kindle. When shopping at Best Buy, I mentioned to my husband that I might want to try a Kindle....went to another area and, when I returned, the Kindle VOYAGE was in our basket. OK so I though I would give it a try. I LOVE it! So compact, so easy to read my books and turn the pages without swiping or ??? I highly recommend the VOYAGE to existing and pending Kindle readers. So many great features in such a small package!",5
Very basic,"Wry basic, but I guess, it's ok for the price. Bought for a 6 year old.",3
Good basic staple but maybe not as long-lasting as Duracell,"Good price but I can't tell if these last as long as Duracell. AmazonBasics with Amazon Prime are a great deal though, and I'd probably buy them again. I haven't had any problems with corrosion or other concerns.",3
"Love AmazonBasic products and GreenWorks, etc. Amazon takes care of you!",As advertised!,5
Three Stars,They're batteries.,3
Sad,It all of a sudden has stoped charging I have only used it a few times in the short time off purchase. Can I get a replacement or how best can I be helped,3
Worst Battery We've Ever Used!!!!!,Our experience with all Amazon batteries have been bad. They dont last nearly as long as a Duracel or Energizer. I literally replaced my computer mouse battery with an Amazon AAA battery 2 days ago and its already out. We have to replace everything that has an Amazon battery constantly. Will not buy these again.,1
"Ok batteries, don't last","Price is good but I don't think these batteries perform as well as their peers. Reading reviews from actual electricians, I think they agree.I love Amazon products but wouldn't buy these again (unless they were more than half off their competitor's prices).",3
Not worth the savings,"On second use, silver liquid leaked out of batteries, almost ruining the motor of a breast pump.",1
Three Stars,ok,3
Three Stars,Needed them in a hurry - don't last that long.,3
Batteries that work. Seem to last the same as ...,"Batteries that work. Seem to last the same as other major brands, but cheaper to buy. A no-brainer.",5
Three Stars,I wouldnt say they are worse or better then name brand batteries. about the same,3
False advertising,I was searching for rechargeable batteries and these came up. I did think it was a great price for rechargeable batteries so I bought two packs. Didn't realize they were regular batteries until they arrived. I was a little annoyed. I blame Amazon for showing me these when I was looking for something else.,1
Five Stars,works well and is a value for money buy.,5
Very disappointed,It was working great then all of a sudden it wouldnt come on,3
Great product for great price,"Great product for a great price, you can't go wrong with amazon! I love it!",5
childrens kindle,great learning tool for my granddaughter. she loves it.,5
Kid Kindle,My granddaughters love the Kid Kindles that they received for Christmas!,5
Three Stars,"Doesn't hold the strength of Duracell, etc.",3
Doesn't stay on,I bought this on line as a gift. The unit does not stay on and I cannot get in touch with anyone to get the unit repaired,1
"Ho-Hum, Good & Bad","I can only compare my Fire HD 8 16 GB (2017) to my two Fire HD 7 8 GB 2012 (2nd Gen) units.Fire HD 8 16 GB (2017) - Pros- Wider screen - better for viewing movies.- Multiple small icons on home screen.- Around 50% more RAM- Can add microSD up to 256 GB (no need to buy 32 GB)- Good value w/ $20 discount: $59 is lot less than the Fire HD 2012.- Offers Alexa, but I haven't figured it out (I have a Fire Stick on HDTV).Fire HD 8 16 GB (2017) - Cons- Same 1208 x 800, 720p HD resolution.- Only 1.3 GHz (2012 was 1.2 GHz)- Crummy front/rear cameras, no auto-focus; 2012 rear only, w/ auto-focus.- Retains panels of previously used screens: annoying to delete.- Can only send Prime videos to HDTV via Fire Stick.- No micro-HDMI port to send any content to HDTV- Held horizontal, all controls and wires are awkwardly located on one side.- Blue Shade (read at night) seems useless.- Amazon brand case is too expensive and does not stand well in portrait view.- Reviews for third party cases: sometimes expensive, almost always shoddy, usually fail at portrait viewWhere is the Amazon brand case with a fitted snap-on hard back and a fold over cover that offers true protection? I have them for my Paperwhite 2nd Gen and Fire HD 2012 - they are excellent. On/off and volume control buttons failed on one Fire HD 2012. The other 2012 works perfectly after six years. Paperwhite is fantastic.Note: Fire HD 10 32 GB with 1920 x 1200 and 1080 resolution offers much better viewing, but $150 is way too much. A current $80 discount for iPad 2017 makes Apple's entry model $249. I may try it.Bottom line: If it comes back to $59, the Fire HD 8 16 GB (2017) is a worthwhile purchase.",3
"Very poor performance, not very long lasting.",Don't last long at all. I've had better luck with cheaper batteries than I've had with these. Duracell batteries in the same equipment with same usage lasted 4 times longer than these Amazon AA Batteries did.,1
Great product,I wish it was more user friendly for my 2 year old.,5
GREAT QUALITY,Work as great as other name brand batteries I've used.,5
Decent,"These work pretty well. They don't seem to last quite as long as Duracell or Energizer, but for the price I will continue to buy.",3
Five Stars,Just as advertised.,5
Great device,Bought for my 3 year old. Very rugged and easy to use. Love it uses the android apps and kiddo loves it.,5
Very Poor battery life,"Very Poor battery life... Did not even last 30 minutes in my device where I've had top notch Energizer batteries that lasted weeks if not months!!!These just do not compare to top of the line batteries. Maybe good for a TV remote, but that's about it.",1
Returned,I returned this item because I couldn’t get a keyboard with a case to go with it.,3
This item is not my primary tablet but is adequate,This tablet is sufficient for secondary use. At times searches are slow and memory is limited.,3
One Star,These suck. Had for a week. Stopped working. Garbage.,1
Ok for what you pay,Too slow for games and videos i bought it for my youngest son so they wouldnt fight for the ipad but they still do,3
Okay,"I love having real books, but these are great for travel and keeping your bookshelves lighter. I wish you could buy them with larger storage without having to buy the larger size pad. It also sucks that they are 4gig, but 1gig is taken up by the OS and advertising. Seriously? It reads PDFs and needs a 1 gig OS. Lame. The last thing I would change is being able to reverse the lettering so at night you could have white lettering and a black background, so it's less bright on the eyes.",3
should have purchased sooner,For a cheaper price this does more than my kindle- love having this tablet,5
Three Stars,ok,3
Great 16GB Tablet For the Price,This tablet is quad core CPU and has plenty of space for you to download more apps.,5
not so wonderful,not so wonderful - I don't think these batteries last any longer than the ones I buy at the dollar stores.,3
Great tablet for speed,I didn't do any in depth research on this particular tablet. The price and speed were good for what I wanted it for. My only con is not being able to clear the home screen of apps or relocate them so I can see my personal home screen picture.,3
Tablet for children,I think the tablet is great it's plenty apps and books for children to read and interact with I also like the option that they don't just have books that you read yourself you can choose one that would read to you the tablet is just a good all-around Device it allows you to add additional apps that you would purchase separate to it,5
Nice 7in tablet,Nice tablet for a kid or teenager no allot of memory.,5
Three Stars,Haven't Used Yet........,3
Not for kids,This is just a regular fire tablet that has protective case.,1
A cheap tablet,I was hoping to use Google launcher with this tablet but it is really locked down and you cannot change the launcher or the lock screen. Still cheap and fine for watching movies.,3
Five Stars,work.,5
One Star,They paired these with a order that uses AA,1
send back,"did not power up...at all. I am so happy that my grand-niece wasn't here and doesn't know about this yet, she would have been crying.",1
Three Stars,They don't charge after 3 or 4 uses.,3
Five Stars,"Good or better than Durcell at much less cost. Made in Indonesia, not China.",5
